lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
LIKE TOTALLY,4 Level Product Style,LIKE TOTALLY,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>LIKE TOTALLY</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Mayor cubrimiento<br/>Hecho en Colombia</p>,LIKE TOTALLY,"Reversible
Costuras invisibles
Tiro bajo
Mayor cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,70% POLIAMIDA 22% POLIESTER 4% ELASTANO 4% LICRA,ROJO,SWIMWEAR,<h4>LIKE TOTALLY</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523138196/HigSummer2018/2024SAC06_2024SBC06_red_1.jpg,2024SAC06_red_1,,https://res.cloudinary.com/maaji/image/upload/v1523138193/HigSummer2018/2024SAC06_2024SBC06_red_2.jpg,2024SAC06_red_2,,,,,,,,,,,,,,61.12.41.00.00,2024SAC06|2024SBC06
SONNY AND CHER,4 Level Product Style,SONNY AND CHER,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>SONNY AND CHER</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Mayor cubrimiento<br/>Hecho en Colombia</p>,SONNY AND CHER,"Reversible
Costuras invisibles
Tiro bajo
Mayor cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,70% POLIAMIDA 22% POLIESTER 4% ELASTANO 4%LICRA,AMARILLO,SWIMWEAR,<h4>SONNY AND CHER</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523138708/HigSummer2018/2043SAC09_2043SBC09_yellow_1.jpg,2043SAC09_yellow_1,,https://res.cloudinary.com/maaji/image/upload/v1523138711/HigSummer2018/2043SAC09_2043SBC09_yellow_2.jpg,2043SAC09_yellow_2,,,,,,,,,,,,,,61.12.41.00.00,2043SAC09|2043SBC09
NARLY DUDE,4 Level Product Style,NARLY DUDE,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>NARLY DUDE</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,NARLY DUDE,"Reversible
Costuras invisibles
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,85% POLIAMIDA 15% ELASTANO,AMARILLO,SWIMWEAR,<h4>NARLY DUDE</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523139378/HigSummer2018/2062SBC13_2062SCC13_blue_1.jpg,2062SBC13_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1523139380/HigSummer2018/2062SBC13_2062SCC13_blue_2.jpg,2062SBC13_blue_2,,,,,,,,,,,,,,61.12.41.00.00,2062SBC13|2062SCC13
IN YOUR DREAMS,4 Level Product Style,IN YOUR DREAMS,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>IN YOUR DREAMS</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,IN YOUR DREAMS,"Reversible
Costuras invisibles
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,84% POLIAMIDA 16% ELASTANO,AMARILLO,SWIMWEAR,<h4>IN YOUR DREAMS</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523140058/HigSummer2018/2110SBC04_2110SDC04_blue_1.jpg,2110SBC04_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1523140059/HigSummer2018/2110SBC04_2110SDC04_blue_2.jpg,2110SBC04_blue_2,,,,,,,,,,,,,,61.12.41.00.00,2110SBC04|2110SDC04
SIXTEEN CANDIES,4 Level Product Style,SIXTEEN CANDIES,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>SIXTEEN CANDIES</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Entero de escote profundo<br/>Corte retro de pierna alta<br/>Espalda cruzada que ajusta hombros y espalda<br/>Hecho en Colombia</p>,SIXTEEN CANDIES,"Reversible
Entero de escote profundo
Corte retro de pierna alta
Espalda cruzada que ajusta hombros y espalda
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,92% POLIAMIDA 8% ELASTANO,AMARILLO,SWIMWEAR,<h4>SIXTEEN CANDIES</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523140787/HigSummer2018/2119SOH03_2119SOR03_yellow_3.jpg,2119SOH03_yellow_3,,https://res.cloudinary.com/maaji/image/upload/v1523140789/HigSummer2018/2119SOH03_2119SOR03_yellow_4.jpg,2119SOH03_yellow_4,,,,,,,,,,,,,,61.12.41.00.00,2119SOH03|2119SOR03
BREAKFAST CLUB,4 Level Product Style,BREAKFAST CLUB,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>BREAKFAST CLUB</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro alto<br/>Tiras cruzadas y ajustables en los costados<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,BREAKFAST CLUB,"Reversible
Costuras invisibles
Tiro alto
Tiras cruzadas y ajustables en los costados 
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,93% POLIAMIDA 7% ELASTANO,AMARILLO,SWIMWEAR,<h4>BREAKFAST CLUB</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523141165/HigSummer2018/2130SBC02_2130SCC02_blue_1.jpg,2130SBC02_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1523141163/HigSummer2018/2130SBC02_2130SCC02_blue_2.jpg,2130SBC02_blue_2,,,,,,,,,,,,,,61.12.41.00.00,2130SBC02|2130SCC02
TOOCOOL FORSCHOOL,4 Level Product Style,TOOCOOL FORSCHOOL,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>TOOCOOL FORSCHOOL</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,TOOCOOL FORSCHOOL,"Reversible
Costuras invisibles
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,70% POLIAMIDA 22% POLIESTER 4% ELASTANO 4% LICRA,AMARILLO,SWIMWEAR,<h4>TOOCOOL FORSCHOOL</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523141585/HigSummer2018/2194SBC01_2194SDC01_yellow_1.jpg,2194SBC01_yellow_1,,https://res.cloudinary.com/maaji/image/upload/v1523141589/HigSummer2018/2194SBC01_2194SDC01_yellow_2.jpg,2194SBC01_yellow_2,,,,,,,,,,,,,,61.12.41.00.00,2194SBC01|2194SDC01
CRYSTAL BLUE SUBLIME,4 Level Product Style,CRYSTAL BLUE SUBLIME,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>CRYSTAL BLUE SUBLIME</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Mayor cubrimiento<br/>Hecho en Colombia</p>,CRYSTAL BLUE SUBLIME,"Reversible
Costuras invisibles
Tiro bajo
Mayor cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,87% POLIAMIDA 13% ELASTANO,AMARILLO,SWIMWEAR,<h4>CRYSTAL BLUE SUBLIME</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523142112/HigSummer2018/3007SAC22_3007SBC22_3007SCC22_3007SDC22_blue_1.jpg,3007SAC22_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1523142118/HigSummer2018/3007SAC22_3007SBC22_3007SCC22_3007SDC22_blue_2.jpg,3007SAC22_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1523142117/HigSummer2018/3007SAC22_3007SBC22_3007SCC22_3007SDC22_blue_5.jpg,3007SAC22_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1523142115/HigSummer2018/3007SAC22_3007SBC22_3007SCC22_3007SDC22_blue_6.jpg,3007SAC22_blue_6,,,,,,,,61.12.41.00.00,3007SAC22|3007SBC22|3007SCC22|3007SDC22
SHIMMERING CHESTNUT SUBLIME,4 Level Product Style,SHIMMERING CHESTNUT SUBLIME,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>SHIMMERING CHESTNUT SUBLIME</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Mayor cubrimiento<br/>Hecho en Colombia</p>,SHIMMERING CHESTNUT SUBLIME,"Reversible
Costuras invisibles
Tiro bajo
Mayor cubrimiento
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,88% POLIAMIDA 12% ELASTANO,AMARILLO,SWIMWEAR,<h4>SHIMMERING CHESTNUT SUBLIME</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523142954/HigSummer2018/3007SAC23_3007SBC23_3007SCC23_3007SDC23_brown_1.jpg,3007SAC23_brown_1,,https://res.cloudinary.com/maaji/image/upload/v1523142956/HigSummer2018/3007SAC23_3007SBC23_3007SCC23_3007SDC23_brown_2.jpg,3007SAC23_brown_2,,https://res.cloudinary.com/maaji/image/upload/v1523142950/HigSummer2018/3007SAC23_3007SBC23_3007SCC23_3007SDC23_brown_5.jpg,3007SAC23_brwon_5,,https://res.cloudinary.com/maaji/image/upload/v1523142956/HigSummer2018/3007SAC23_3007SBC23_3007SCC23_3007SDC23_brown_6.jpg,3007SAC23_brown_6,,,,,,,,61.12.41.00.00,3007SAC23|3007SBC23|3007SCC23|3007SDC23
MELLOW YELLOW CANDY,4 Level Product Style,MELLOW YELLOW CANDY,active,Maaji,0,0,,"
Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados ??de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados ??a menos que los artículos de devolución estén defectuosos. 
Nuestra política de devoluciones es adicional a lo requerido por las leyes colombianas de protección al consumidor.  
 ",<h4>MELLOW YELLOW CANDY</h4>,<p>Lavar a mano<br/>Siempre enjuagar para quitar el cloro<br/>Secar a la sombra<br/>Evitar superficies asperas</p>,<p>Reversible<br/>Costuras invisibles<br/>Tiro bajo<br/>Cubrimiento moderado<br/>Hecho en Colombia</p>,MELLOW YELLOW CANDY,"Reversible
Costuras invisibles
Tiro bajo
Cubrimiento moderado
Hecho en Colombia",,,,Nuestra modelo usa talla colombiana: TALLA PEQUEÑA,,Colombia,HIGH SUMMER 2018,COLOMBIA,87% POLIAMIDA 13% ELASTANO,AMARILLO,SWIMWEAR,<h4>MELLOW YELLOW CANDY</h4>,MUJERES,active,2018,https://res.cloudinary.com/maaji/image/upload/v1523143844/HigSummer2018/3072SBC07_3072SCC07_yellow_1.jpg,3072SBC07,,https://res.cloudinary.com/maaji/image/upload/v1523143843/HigSummer2018/3072SBC07_3072SCC07_yellow_2.jpg,3072SBC07_yellow_2,,https://res.cloudinary.com/maaji/image/upload/v1523143844/HigSummer2018/3072SBC07_3072SCC07_yellow_5.jpg,3072SBC07_yellow_5,,https://res.cloudinary.com/maaji/image/upload/v1523143838/HigSummer2018/3072SBC07_3072SCC07_yellow_6.jpg,3072SBC07_yellow_6,,,,,,,,61.12.41.00.00,3072SBC07|3072SCC07
