lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
1233XTW02,,145,68,0.48,,150,73,0.49
1238XCP05,,20,28,0.2,,25,33,0.25
1238XCP06,,20,28,0.2,,25,33,0.25
1244XPK02,8.5,31,26,0.48,9,36,31,0.53
1245XVR02,20,56,43,0.48,25,61,48,0.53
1268XWK01,32,49,40,0.48,37,54,45,0.53
1269XBP01,,42,29,0.48,,47,34,0.53
1270XTE01,9,54,35,0.48,14,59,40,0.53
1273XCP01,,25,33,0.25,,30,38,0.3
1273XCP02,,25,33,0.25,,30,38,0.3
1505CPR01,,140,115,0.2,,143,118,0.25
1510CPR01,,140,115,0.2,,143,118,0.25
1515CPR01,,140,115,0.2,,143,118,0.25
1520CPR01,,140,115,0.2,,143,118,0.25
