lv1_code,product_class_name,name,status,brand,attribute.saya_2_ways.boolean,attribute.saya_4_ways.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
like _totally,4 Level Product Style,LIKE TOTALLY,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>LIKE TOTALLY</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Full coverage <br/>Made in Colombia</p>,LIKE TOTALLY,"Reversible
Seamless
Low Rise 
Full coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>LIKE TOTALLY</h4>,,active,2018,61.12.41.00.00,2024sac06|2024sbc06
sonny _and _cher,4 Level Product Style,SONNY AND CHER,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SONNY AND CHER</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br>Seamless<br/>Low Rise <br/>Full coverage <br/>Made in Colombia</p>,SONNY AND CHER,"Reversible
Seamless
Low Rise 
Full coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>SONNY AND CHER</h4>,,active,2018,61.12.41.00.00,2043sac09|2043sbc09
narly _dude,4 Level Product Style,NARLY DUDE,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>NARLY DUDE</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Moderate coverage <br/>Made in Colombia</p>,NARLY DUDE,"Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>NARLY DUDE</h4>,,active,2018,61.12.41.00.00,2062sbc13|2062scc13
in _your _dreams,4 Level Product Style,IN YOUR DREAMS,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>IN YOUR DREAMS</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Moderate coverage <br/>Made in Colombia</p>,IN YOUR DREAMS,"Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>IN YOUR DREAMS</h4>,,active,2018,61.12.41.00.00,2110sbc04|2110sdc04
sixteen _candies,4 Level Product Style,SIXTEEN CANDIES,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SIXTEEN CANDIES</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Deep scoop one piece <br/>Adjustable criss cross back<br/>High leg cut<br/>Lace up and tie back string<br/>Made in Colombia</p>,SIXTEEN CANDIES,"Reversible
Deep scoop one piece 
Adjustable criss cross back
High leg cut
Lace up and tie back string
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>SIXTEEN CANDIES</h4>,,active,2018,61.12.41.00.00,2119soh03|2119sor03
breakfast _club,4 Level Product Style,BREAKFAST CLUB,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>BREAKFAST CLUB</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>High Rise<br/>Lace up and tie sides strings<br/>Moderate coverage <br/>Made in Colombia</p>,BREAKFAST CLUB,"Reversible
Seamless
High Rise
Lace up and tie sides strings
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>BREAKFAST CLUB</h4>,,active,2018,61.12.41.00.00,2130sbc02|2130scc02
toocool _forschool,4 Level Product Style,TOOCOOL FORSCHOOL,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>TOOCOOL FORSCHOOL</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Moderate coverage <br/>Made in Colombia</p>,TOOCOOL FORSCHOOL,"Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>TOOCOOL FORSCHOOL</h4>,,active,2018,61.12.41.00.00,2194sbc01|2194sdc01
crystal _blue _sublime,4 Level Product Style,CRYSTAL BLUE SUBLIME,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CRYSTAL BLUE SUBLIME</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Full coverage <br/>Made in Colombia</p>,CRYSTAL BLUE SUBLIME,"Reversible
Seamless
Low Rise 
Full coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>CRYSTAL BLUE SUBLIME</h4>,,active,2018,61.12.41.00.00,3007sac22|3007sbc22|3007scc22|3007sdc22
shimmering _chestnut _sublime,4 Level Product Style,SHIMMERING CHESTNUT SUBLIME,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>SHIMMERING CHESTNUT SUBLIME</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Full coverage <br/>Made in Colombia</p>,SHIMMERING CHESTNUT SUBLIME,"Reversible
Seamless
Low Rise 
Full coverage
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>SHIMMERING CHESTNUT SUBLIME</h4>,,active,2018,61.12.41.00.00,3007sac23|3007sbc23|3007scc23|3007sdc23
mellow _yellow _candy,4 Level Product Style,MELLOW YELLOW CANDY,active,Maaji,0,0,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>MELLOW YELLOW CANDY</h4>,<p>Cold hand wash<br/>Always rinse away salt or chlorine<br/>Lay flat to dry<br/>Avoid rough surfaces</p>,<p>Reversible<br/>Seamless<br/>Low Rise <br/>Moderate coverage <br/>Made in Colombia</p>,MELLOW YELLOW CANDY,"Reversible
Seamless
Low Rise 
Moderate coverage 
Made in Colombia",,,,Our model wears an Colombian size S,,Colombia,HIGH SUMMER 2018,COLOMBIA,,,SWIMWEAR,<h4>MELLOW YELLOW CANDY</h4>,,active,2018,61.12.41.00.00,3072sbc07|3072scc07
