idCategoria,Tercero_idTercero,codigoAlterno1Categoria,codigoAlterno2Categoria,nombreCategoria,vidaUtilCategoria,Categoria_idIzquierda,Categoria_idDerecha,Categoria_idNivel
1,0,ART MODE,ART MODE,ART MODE,0,0,335,1
13,0,AM,,AMULETTE,0,1,16,2
14,0,BO,,BONOS,0,17,20,2
15,0,MA,,MAAJI ACCESORIES,0,21,54,2
16,0,ST,,MAAJI STUDIO,0,55,84,2
17,0,AP,,MAAJI APPAREL,0,85,106,2
18,0,MC,,MAAJI COVERUPS,0,107,144,2
19,0,MK,,MAAJI KIDS,0,145,162,2
20,0,LA,,MAAJI LAB,0,163,166,2
21,0,ML,,MAAJI LINGERIE,0,167,210,2
22,0,MS,,MAAJI SWIMWEAR,0,211,256,2
23,0,MT,,MAAJI TRUNKS,0,257,260,2
24,0,SB,,SUBMARINE,0,261,262,2
59,0,MA 39,MA 39,ACCESORIES BAG,0,22,23,3
60,0,MA 40,MA 40,ACCESORIES JEWELRY,0,24,25,3
61,0,MA 41,MA 41,ACCESORIES HAT,0,26,27,3
62,0,MA 42,MA 42,ACCESORIES SHOES,0,28,29,3
63,0,MA 43,MA 43,ACCESORIES FLIP FLOPS,0,30,31,3
64,0,MA 44,MA 44,ACCESORIES SANDALS,0,32,33,3
65,0,MA 45,MA 45,ACCESORIES BEACH ,0,34,35,3
68,0,MA 46,,HEAD ACCESORY,0,36,37,3
69,0,MA 47,MA 47,ACCESORIES CASE,0,38,39,3
70,0,MA 48,,MAGIC ORGANIZER,0,40,41,3
71,0,MS 102,MS 102,WOMENS HIPSTER CUT,0,212,213,3
72,0,MS 103,MS 103,WOMENS SIGNATURE CUT,0,214,215,3
73,0,MS 104,MS 104,WOMENS CHEEKY CUT,0,216,217,3
74,0,MS 105,MS 105,WOMENS CHI CHI CUT,0,218,219,3
75,0,MS 106,MS 106,WOMENS SLIDING TRIANGLE,0,220,221,3
76,0,MS 107,MS 107,WOMENS FIXED TRIANGLE,0,222,223,3
77,0,MS 108,MS 108,WOMENS SLIDING HALTER,0,224,225,3
78,0,MS 109,MS 109,WOMENS FIXED HALTER,0,226,227,3
79,0,MS 110,MS 110,WOMENS BANDEAU,0,228,229,3
80,0,MS 111,MS 111,WOMENS BUSTIER,0,230,231,3
81,0,MS 112,MS 112,WOMENS UNDERWIRE,0,232,233,3
82,0,MS 113,MS 113,WOMENS SPORTY TOP,0,234,235,3
83,0,MS 114,MS 114,WOMENS FASHION TOP,0,236,237,3
84,0,MS 115,MS 115,WOMENS TANK TOP,0,238,239,3
85,0,MS 116,MS 116,WOMENS FLOUNCE TOP,0,240,241,3
97,0,MT 119,MT 119,MENS SHORT TRUNK,0,258,259,3
99,0,MK 78,MK 78,GIRLS BIKINI KIDS,0,146,147,3
100,0,MK 79,MK 79,GIRLS TANKINI KIDS,0,148,149,3
101,0,MK 80,MK 80,GIRLS ONE PIECE KIDS,0,150,151,3
102,0,MK 81,MK 81,GIRLS DRESS KIDS,0,152,153,3
103,0,MK 82,MK 82,GIRLS SKIRT KIDS,0,154,155,3
104,0,MK 83,MK 83,GIRLS SHORT KIDS,0,156,157,3
105,0,MK 84,MK 84,GIRLS RASH GUARD KIDS,0,158,159,3
106,0,MK 85,MK 85,GIRLS BACK PACK KIDS,0,160,161,3
107,0,TL,,TELAS,0,263,264,2
115,0,AM 31,,TOP,0,2,3,3
116,0,AM 32,,BOTTON,0,4,5,3
117,0,AM 33,,BABYDOLL,0,6,7,3
118,0,AM 34,,SLIP,0,8,9,3
119,0,AM 35,,CAMISOLE,0,10,11,3
120,0,AM 36,,BODY,0,12,13,3
121,0,AM 37,,PANTS,0,14,15,3
122,0,BO 38,,BONOS,0,18,19,3
123,0,ST 49,ST-49,WOMENS TANK TOP,0,56,57,3
124,0,ST 50,ST-50,WOMENS WINDBREAKER,0,58,59,3
125,0,ST 51,ST 51, WOMENS SPORTS BRA,0,60,61,3
126,0,ST 52,ST 52, WOMENS SHORTS,0,62,63,3
127,0,ST 53,ST 53, WOMENS JUMPSUIT,0,64,65,3
128,0,ST 54,ST 54, WOMENS PANTS,0,66,67,3
129,0,ST 55,ST 55, WOMENS SHIRT,0,68,69,3
130,0,ST 56,ST 56, WOMENS YOGA PANTS,0,70,71,3
131,0,ST 57,ST 57, WOMENS CAPRI,0,72,73,3
132,0,ST 58,ST 58, WOMENS T-  SHIRT,0,74,75,3
133,0,AP 59,AP 59, WOMENS PANTS,0,86,87,3
134,0,AP 60,AP 60, WOMENS DRESS,0,88,89,3
135,0,AP 61,AP 61, WOMENS SHORT DRESS,0,90,91,3
136,0,AP 62,AP 62, WOMENS SHORTS,0,92,93,3
137,0,AP 63,AP 63, WOMENS KIMONO,0,94,95,3
138,0,AP 64,AP 64, WOMENS SKIRT,0,96,97,3
139,0,AP 65,AP 65, WOMENS SHORT SKIRT,0,98,99,3
140,0,MC 66,MC 66, WOMENS PANTS,0,108,109,3
141,0,MC 67,MC 67, WOMENS DRESS,0,110,111,3
142,0,MC 68,MC-68,WOMENS SHORT DRESS,0,112,113,3
143,0,MC 69,MC 69, WOMENS SHORTS,0,114,115,3
144,0,MC 70,MC 70, WOMENS KIMONO,0,116,117,3
145,0,MC 71,MC 71, WOMENS SKIRT,0,118,119,3
146,0,MC 72,MC 72, WOMENS SHORT SKIRT,0,120,121,3
147,0,AP 73,AP 73, WOMENS PONCHO,0,122,123,3
148,0,MC 74,MC 74,WOMENS TSHIRT,0,124,125,3
149,0,MC 75,MC 75,WOMENS WINDBREAKER,0,126,127,3
150,0,MC 76,MC 76, WOMENS OVERALL,0,128,129,3
151,0,MC 77,MC 77, WOMENS JUMPER,0,130,133,3
152,0,LA 86,, MAAJI LAB,0,164,165,3
153,0,ML 87,ML 87,WOMENS HIPSTER ,0,168,169,3
154,0,ML 88,ML 88,WOMENS GIRLS BOY SHORT,0,170,171,3
155,0,ML 89,ML 89,WOMENS THONG,0,172,173,3
156,0,ML 90,ML 90,WOMENS LITTLE THONG,0,174,175,3
157,0,ML 91,ML 91,WOMENS CHEEKY,0,176,177,3
158,0,ML 92,ML 92,WOMENS BALCONETTE BRA,0,178,179,3
159,0,ML 93,ML 93,WOMENS BRALETTE,0,180,181,3
160,0,ML 94,ML 94,WOMENS BANDEAU BRA,0,182,183,3
161,0,ML 95,ML 95,WOMENS BUSTIER BRA,0,184,185,3
162,0,ML 96,ML 96,WOMENS TRIANGLE BRA,0,186,187,3
163,0,ML 97,ML 97,WOMENS HALTER BRA,0,188,189,3
164,0,ML 98,ML 98,WOMENS RACER BACK TOP,0,190,191,3
165,0,ML 99,ML 99,WOMENS PIJAMA,0,192,193,3
166,0,ML 100,ML 100,WOMENS PIJAMA TOP,0,194,195,3
167,0,ML 101,ML 101,WOMENS PIJAMA BOTTOM,0,196,197,3
168,0,MS 117,MS 117,WOMENS TRIKINI,0,242,243,3
169,0,MS 118,MS 118,WOMENS ONE PIECE,0,244,245,3
234,0,MC 181,MC 181,WOMENS RASHGUARD,0,134,135,3
235,0,MC 182,MC 182, WOMENS CAPRI,0,136,137,3
236,0,MC 183,MC 183,WOMENS JUMPER,0,138,139,3
237,0,MM,,MERCADEO MAAJI,0,265,266,2
238,0,AP 184,AP 184, WOMENS T-SHIRT,0,100,101,3
239,0,AP 119,AP 119, WOMENS JACKET,0,76,77,3
240,0,ST 120,ST 120, WOMENS BODY,0,78,79,3
243,0,ML 185 ,ML 185,WOMENS CAMI,0,198,199,3
244,0,ML 186 ,ML 186,WOMENS PANTS,0,200,201,3
245,0,ML 187,ML 187,WOMENS GARTER THONG,0,202,203,3
247,0,MA 188,MA 188,ACCESORIES PAREO,0,42,43,3
248,0,MA 189,MA 189,ACCESORIES IPAD SLEEVE,0,44,45,3
249,0,MA 190,,LAPTOP SLEEVE,0,46,47,3
250,0,MA 191,,BRACELET,0,48,49,3
251,0,MA 192,,HAIR ACCESORIES,0,50,51,3
252,0,IN,IN,INSUMOS,0,267,270,2
253,0,MA 193,,BEACH RAG,0,52,53,3
254,0,AP 193,AP 193, WOMENS ROMPER,0,102,103,3
255,0,ML 195,ML 195,WOMENS ROBE,0,204,205,3
256,0,ML 196,ML 196,WOMENS BATOL,0,206,207,3
257,0,ML 197,ML 197,WOMENS BODY,0,208,209,3
259,0,MS 119,MS 198,WOMENS BIKINI SET,0,246,247,3
260,0,MC 199,MC 199,WOMENS PAREO,0,140,141,3
261,0,MC 110,MC 110,WOMENS VEST,0,131,132,4
262,0,AP 194,AP 194,WOMENS VEST,0,104,105,3
263,0,CI,1,CIERRE,0,268,269,3
264,0,ST 200,200,WOMENS SWEATER,0,80,81,3
265,0,199,199,MC 199 - WOMENS FASHION TOP,0,271,272,2
266,0,WOMENS BODY SUIT,36,WOMENS BODY SUIT,0,273,274,2
267,0,200,200,WOMENS LONG SLEEVE SHIRT,0,275,276,2
268,0,ST 201,ST 201,WOMENS BODY SUIT,0,277,278,2
269,0,MS 202,MS,WOMENS RASHGUARD,0,279,280,2
270,0,MA 203,MA 203,BUGS COMPUTER CASE,0,281,282,2
271,0,MA 204,MA 204,FACES IPAD CASE,0,283,284,2
272,0,MA 205,MA 205,ELEPHANTS IPAD CASE,0,285,286,2
273,0,MA 206,MA 206,TRAVEL CASE,0,287,288,2
274,0,MA 207,MA 207,TENNIS,0,289,290,2
275,0,MA 208,MA 208,ASSORTED BEACH TURBAN ,0,291,292,2
276,0,MA 209,MA 209,GREEN BEACH TURBAN,0,293,294,2
277,0,MA 210,MA 210,FLORAL BEACH TURBAN ,0,295,296,2
278,0,MC 211,MC 211,WOMENS ROMPER,0,297,298,2
279,0,AP 212,AP 212,WOMENS JUMPER,0,299,300,2
280,0,ST 213,ST 213,WOMENS JACKET,0,301,302,2
281,0,ST 214,ST 214,WOMENS LAYER,0,303,304,2
282,0,ST 215,ST 215,WOMENS LEGGINGS,0,305,306,2
283,0,1,1,"PROPIEDAD, PLANTA Y EQUIPO",0,307,318,2
284,0,MYE,MYE,MAQUINARIA Y EQUIPO,120,308,309,3
285,0,MYN,MYN,MUEBLES Y ENSERES,60,310,311,3
287,0,OTR,OTR,OTROS,0,312,313,3
288,0,EPC,EPC,EQUIPO PROCESAMIENTO DATOS,60,314,315,3
289,0,ETC,ETC,EQUIPO TELECOMUNICACION,60,316,317,3
290,0,MS 216,MS 216,WOMENS HIGH NECK,0,319,320,2
291,0,MC 217,MC 217,WOMENS DRESS,0,321,322,2
292,0,MC 218,MC 218,WOMENS PONCHO,0,323,324,2
293,0,MC 219,MC 219,WOMENS JACKET,0,325,326,2
294,0,220,220,RUNNING,0,327,328,2
295,0,221,221,YOGA,0,329,330,2
296,0,222,222,DANCE,0,331,332,2
297,0,223,223,TRAVEL,0,333,334,2
299,0,CAD,CAD,CONTROL ADMINISTRATIVO,0,318,319,3
319,0,MA 5050,,PRUEBA,0,54,55,3
320,0,MT 121,,BOYS TRUNKS,0,260,261,3
321,0,MA 50,,GYM ACCESORIES,0,54,55,3
322,0,MA 51,,SPORT BAG,0,54,55,3
323,0,MA 49,,RUNNING ACCESSORIES,0,54,55,3
324,0,MA 52,,TRAVEL ACCESSORIES,0,54,55,3
325,0,MA 53,,GYM / TRAVEL,0,54,55,3
333,0,MC 78,,WOMENS SHIRT,0,144,145,3
342,0,2,2,DIFERIDOS,0,335,338,2
343,0,SRC,SRC,SEGURO RESPONSABILIDAD CIVIL,51,338,339,3
344,0,TRI,TRI,TODO RIESGO INDUSTRIAL,36,338,339,3
345,0,MPA,MPA,MEJORAS A PROPIEDADES AJENAS,37,338,339,3
346,0,SCD,SCD,SERVICIO CUSTODIA Y DOCUMENTACION,30,338,339,3
347,0,3,3,INTANGIBLES,0,335,338,2
348,0,LIC,LIC,LICENCIAS,60,338,339,3
349,0,MS 120,,WOMENS SURFER ONE PIECE/SIGNATURE CUT,0,256,257,3
350,0,MS 121,,WOMENS SURF SHORTS,0,256,257,3
351,0,MC 79,,WOMENS CROP TOP,0,144,145,3
352,0,MA 54,,OFFICE ACCESSORIES ,0,54,55,3
353,0,MA 55,,WEEKENDER ACCESSORIES,0,54,55,3
354,0,MT 122,,MENS BOARD SHORT,0,260,261,3
355,0,MT 123,,MENS SPORTY SHORTS,0,260,261,3
356,0,MT 124,,MENS REVERSIBLE,0,260,261,3
358,0,MT 125,,MENS SURF,0,260,261,3
359,0,MT 126,,MENS SOLID SHORTS,0,260,261,3
360,0,MT 120 ,,MENS LONG TRUNKS,0,260,261,3
361,0,MS 122,,WOMENS ONE PIECE/HIGH RISE,0,256,257,3
362,0,MS 123,,WOMENS ONE PIECE/REGULAR RISE,0,256,257,3
363,0,MK 86,,GIRLS SHORT DRESS KIDS,0,162,163,3
364,0,MT 127,,BOYS SPORTY SHORTS,0,260,261,3
365,0,MT 128,,BOYS REVERSIBLE,0,260,261,3
366,0,MA 56,,COLLABORATION ACCESSORIES,0,54,55,3
367,0,MA 57,,PET ACCESSORIES,0,54,55,3
368,0,MC 80,,WOMENS LONG SKIRT,0,144,145,3
369,0,MS 124,,WOMENS BRALETTE,0,256,257,3
370,0,MS 125,,WOMENS LONG LINE FIXED TRIANGLE,0,256,257,3
371,0,MT 129,,MENS EMBROIDERY,0,260,261,3
372,0,MS 126,,WOMENS CROP TOP,0,256,257,3
373,0,MC 81,,WOMENS LONG DRESS,0,144,145,3
374,0,MS 127,,WOMENS SURFER ONE PIECE/CHEEKY CUT,0,256,257,3
375,0,MC 82,,WOMENS TUNIC,0,142,143,3
376,0,ST 202,,MENS T-SHIRT,0,82,83,3
377,0,MS 128,,WOMENS LONG LINE TRIANGLE TOP,0,248,249,3
378,0,MS 129,,WOMENS WRAPEPD CAMI,0,250,251,3
379,0,MS 130,,WOMENS SEAMLESS HALTER TOP,0,252,253,3
380,0,MS 131,,MENS RASHGUARD,0,254,255,3
381,0,MEM,MEM,MANTENIMIENTO EQUIPOS Y MAQUINARIAS,8,336,337,3
